objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language ,rights
news_001,Newsletter139.pdf,Newsletter 139:Keith's Corner-McGill News,Keith Gibson,2022-01-07,"The secret to longevity includes genetics, diet and most importantly, HUMOR! Present-day McGill thaws out after the big New Years Eve freeze. Plans for the upcoming year look positive!",Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_002,Newsletter140.pdf,Newsletter 140:Keith's Corner-McGill News,Keith Gibson,2022-01-14,"Keith recalls thedoldums during the month of January and how McGill kids of the 1940s made the time pass. Modern-day McGill experiences some cold days, but also 50 degree weather! A clothing store readies for opening day in the old bank.",Schools,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_003,Newsletter141.pdf,Newsletter 141:Keith's Corner-McGill News,Keith Gibson,2022-01-21,Keith's talks about the history of the McGill Club (formerly the American Trading Co. circa 1906-1908.) Post-fire repair work begins on the McGill Club. Historic images of the 1911 brick-lined converter are included,Converters;Businesses,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_004,Newsletter142.pdf,Newsletter 142:Keith's Corner-McGill News,Keith Gibson,2022-01-28,"How kids survived McGill in the 30s, 40s and 50s without TV, internet, iPhones, etc.",Toys,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_005,Newsletter143.pdf,Newsletter 143:Keith's Corner-McGill News,Keith Gibson,2022-02-04,Memories of winter scouting trips in 1948. Scouts used government surplus gear to warm and shelter themselves. Modern-day McGill gets some VIP visitors.,Scouting;Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_006,Newsletter144.pdf,Newsletter 144:Keith's Corner-McGill News,Keith Gibson,2022-02-11,The invention of the TV in the late 1950s caused McGill residents to lessen their time socializing and playing sports. McGill was a powerhouse in baseball from the late 20s to the 50s.,Sports;Baseball,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_007,Newsletter145.pdf,Newsletter 145:Keith's Corner-McGill News,Keith Gibson,2022-02-18,An abundance of snow in the 1940s and 1950s let to fun activities during school recess. Lack of TV or modern-day computer-games led children to use their time outdoors more productively. The present-day McGill drug store gets some new lighting.,People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_008,Newsletter146.pdf,Newsletter 146:Keith's Corner-McGill News,Keith Gibson,2022-02-25," Flags and patriotism in McGill. The history of the McGill flagpoles. The present-day McGill Town Council has approved refurbishment of the flagpole on the ""circle""; complete with a solar light to shine at night.",Patriotism,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_009,Newsletter147.pdf,Newsletter 147:Keith's Corner-McGill News,Keith Gibson,2022-03-04,"The history of several buildings on Main Street is explored. The location of the Greek flag that was raised on June 30, 1918 is questioned.",Main Street,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_010,Newsletter148.pdf,Newsletter 148:Keith's Corner-McGill News,Keith Gibson,2022-03-11,An engineering drawing from 1922 and various photos (over years) seem to indicate two buildings merging together to become the McGill Laundry. The present-day McGill Drug Store receives a large donation!,Main Street;Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_011,Newsletter149.pdf,Newsletter 149:Keith's Corner-McGill News,Keith Gibson,2022-03-18,Keith recalls how he and his 6-7th grade classmates were taught wood-working skills. Something that has fallen by the wayside in today's classrooms. A wonderful photo of the grade-school woodshop building is included. An idea to turn the old hospital into a present-day museum is presented to the McGill Town Council.,Schools,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_012,Newsletter150.pdf,Newsletter 150:Keith's Corner-McGill News,Keith Gibson,2022-03-25,"McGill Grade School teachers had their own dormitory. A picture is included in this issue. Single women were housed in the dormitory and many went on to mary McGill men. The building still stands, but is in desperate need of repair.",Schools;Kennecott,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_013,Newsletter151.pdf,Newsletter 151:Keith's Corner-McGill News,Keith Gibson,2022-04-01,Several images of the Kennecott smoke stacks are included - one showing all three stacks. Rumor has it that Delta airlines used the stacks as a landmark.,Smoke Stacks;Kennecott,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
